Individual,AI,CoachedAI,AugPair,Team,AugT
80.55,72.58,74.97,83.68,88.91,82.34
66.4,76.82,76.64,75.38,89.84,88.18
72.65,71.2,74.63,79.35,92.48,90.93
76.76,82.69,76.65,78.86,86.83,88.21
72.46,76.31,76.65,86.6,83.11,83.64
77.41,76.6,78.28,72.57,92.48,90.93
78.46,81.45,82.14,76.76,84.16,89.7
79.81,75.09,76.65,82.18,92.48,90.93
76.08,83.39,76.65,77.65,84.16,89.07
65.6,86.54,71.93,81.89,83.6,82.4
75.97,75.23,74.77,87.44,88.91,82.34
76.02,82.88,74.45,82.2,83.6,82.4
76.73,75.65,72.54,81.65,84.16,89.7
71.76,79,78.63,76.36,86.83,88.21
75.28,84.59,75.31,78.09,83.6,82.4
67.81,85.77,72.73,71.95,86.4,86.94
75.22,75.92,76.65,79.06,75.8,76.65
68.01,78.62,77.89,74.2,86.83,88.21
65.4,77.19,76.05,78.67,84.16,89.07
66.38,76.61,76.65,78.05,86.4,86.94
67.58,74.83,76.65,70.01,84.16,89.7
78.39,79.71,77.55,74.43,81.01,84.76
79.75,77.65,76.65,79.12,83.81,85.57
76.43,79.77,74.55,79.34,81.8,83.86
76.06,74.12,76.65,75.39,80,80.19
76.78,79.4,76.65,78.01,85.91,90.43
79.98,76.21,77.74,81.58,81.8,83.86
79.84,74.84,76.65,80.43,83.98,86.16
71.67,80.1,75.78,78.98,85.32,84.87
71.95,78,76.65,79.69,84.83,83.55
77.41,75.36,76.65,81.93,85.91,90.43
81,73.85,80.16,76.4,81.2,84.53
76.14,75.54,76.65,80.37,83.98,86.16
73.23,77.19,75.76,82.15,81.23,80.23
73.73,78.63,76.65,81.52,81.01,84.76
82.49,77.63,77.5,81.26,81.01,84.76
80.67,75.79,77.08,75.96,80,80.19
81.41,75.15,76.65,82.6,81.2,84.53
75.01,77.57,76.65,77.77,85.32,84.87
80.89,78.88,77.86,78.64,84.83,83.55
73.32,78.41,76.65,81.6,85.53,82.03
74.58,77.1,74.92,79.12,85.91,90.43
78.6,84.55,83.02,74.63,85.91,90.43
77.66,77.52,76.65,82.21,86.95,82.06
76.57,76.95,76.65,81.46,86.95,82.06
52.21,74.09,86.15,83.62,85.93,90.75
79.86,73.24,79.77,79.64,85.53,82.03
79.41,77.23,76.65,78.85,85.93,90.75
73.27,77.29,78,78.76,85.93,90.75
48.95,77.99,79.51,83.53,80,80.19
80.91,80.85,76.65,79.75,83.81,85.57
77.63,76.75,77.34,83.17,86.95,82.06
80.76,75.03,78.67,79.74,81.8,83.86
79.31,82.94,75.1,83.66,84.83,83.55
77.13,80.21,77.19,80.49,86.95,82.06
70.47,76.92,74.65,79.98,90.07,92.62
79.35,77.86,76.12,87.84,95.05,96.03
77.16,76.88,74.44,88.07,92.05,86.37
79.4,75.97,73.46,82.28,91.22,91.59
74.8,76.13,76.11,88.09,91.11,87.66
60.12,79.48,76.65,79.88,91.85,92.97
78.37,75.51,78.28,81.65,95.05,96.03
64.92,82.18,74.98,77.4,88.8,93.33
76.14,76.19,77.21,84.13,95.05,96.03
79.3,74.04,73.1,81.44,92.05,86.37
76.37,74.75,76.02,88.58,90.61,90.51
74.87,83.06,75.93,87.85,88.56,90.05
78.18,77.64,73.98,90.03,94.7,85.37
70.16,87.6,77.71,88.11,92.05,86.37
71.39,83.43,78.71,78.71,90.07,92.62
72.7,79.15,76.65,91.4,88.8,93.33
76.39,76.95,76.12,80.41,91.76,94.03
80.3,79.1,76.65,88.82,90.84,89.71
72.75,75.98,72.83,92.87,88.56,90.05
79.59,81.38,76.65,79.8,95.05,96.03
79.38,74.11,76.65,87.75,94.7,85.37
74.83,72.29,78.1,88.71,91.22,91.59
73.16,80.47,76.65,82.25,93.32,88.34
77.93,75.22,80.95,84.56,94.7,85.37
73.8,72.84,77.28,85.09,93.32,88.34
77.45,74.7,73.42,81.54,90.61,90.51
78.83,69.72,76.65,84.99,91.85,92.97
69.46,73.68,76.16,87.61,91.11,87.66
70.47,76.77,79.9,78.37,91.22,91.59
81.07,75.67,80.44,86.5,91.11,87.66
44.6,78.86,82.09,87.75,88.69,89.04
80.93,75.66,76.65,84.2,88.69,89.04
81.07,74.27,76.65,83.74,90.61,90.51
76.08,75.79,77.32,83.63,94.55,91.01
67.55,76.77,78.85,91.71,91.76,94.03
77.52,77.65,77.03,84.83,90.84,89.71
74.15,78.8,79.33,85.73,91.11,87.66
82.71,76.88,77.52,83.26,88.8,93.33
81.18,77.77,78.9,86,90.07,92.62
80.05,77.18,74.18,86.25,94.55,91.01
75.56,74.62,76.65,87.81,90.84,89.71
74.83,76.44,79.49,81.66,90.84,89.71
76.19,76.04,74.96,87.69,91.85,92.97
76.16,76.34,76.65,81.39,93.32,88.34
72.13,77.91,74.8,85.96,94.55,91.01
74.12,81.83,83.98,83.29,88.8,93.33
70.65,81.48,80.93,77.08,81.54,80.59
76.61,79.04,82.32,83.93,80.85,82.78
83.58,80.12,82.47,89.17,80.1,84.26
80.78,80.3,80.74,79.44,82.09,82.22
75.17,79.42,80.74,77.7,80.1,84.26
75.24,82.92,78.95,84.55,81.48,81.41
73.65,81.02,80.96,88.96,80.85,82.78
73.33,81.74,80.74,89.48,82.52,84.06
79.04,82.33,80.74,86.97,81.19,82.47
81.14,83.05,79.68,86.21,78.87,79.01
